,COD,REFRESH,LAT,LON,CODIGOLINHA,ADAPT,TIPO_VEIC,TABELA,SITUACAO,SITUACAO2,SENT,TCOUNT
HI853,HI853,17:17,-25.532858,-49.319473,628,1,7,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
BI001,BI001,17:17,-25.406638,-49.252501,211,1,1,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
BI876,BI876,17:17,-25.377005,-49.233848,275,1,7,2,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
BI886,BI886,17:17,-25.428668,-49.270635,275,1,7,1,ADIANTADO,REALIZANDO ROTA,IDA,1
BC025,BC025,17:14,-25.424676,-49.30118,876,1,1,1,ADIANTADO,REALIZANDO ROTA,VOLTA,1
BC012,BC012,17:17,-25.427705,-49.297513,876,1,1,2,NO HORÁRIO,REALIZANDO ROTA,IDA,1
GI008,GI008,17:17,-25.512228,-49.294771,649,1,1,1,ADIANTADO,REALIZANDO ROTA,IDA,1
HI045,HI045,17:15,-25.47796,-49.292955,612,1,1,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
MI003,MI003,17:13,-25.421225,-49.292311,901,1,1,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
MC307,MC307,17:16,-25.408693,-49.323945,901,1,3,2,NO HORÁRIO,TIPO INCOMPATIVEL,VOLTA,1
MC304,MC304,17:15,-25.419765,-49.294151,REC,1,3,,,,,1
GI052,GI052,17:15,-25.533636,-49.266523,633,1,1,1,ATRASADO,REALIZANDO ROTA,IDA,1
EI013,EI013,17:17,-25.520026,-49.24784,521,1,1,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
GI014,GI014,17:17,-25.527998,-49.291985,643,1,1,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
GI006,GI006,17:06,-25.527756,-49.292116,643,1,1,2,ADIANTADO,REALIZANDO ROTA,VOLTA,1
BI006,BI006,17:17,-25.409278,-49.220095,374,1,1,2,NO HORÁRIO,REALIZANDO ROTA,IDA,1
BI007,BI007,17:16,-25.42134,-49.252916,374,1,1,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
EI004,EI004,17:17,-25.467061,-49.259875,561,1,1,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
EA003,EA003,17:16,-25.457323,-49.26364,561,1,1,2,NO HORÁRIO,REALIZANDO ROTA,IDA,1
GI022,GI022,17:17,-25.48945,-49.285671,621,1,1,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
GI035,GI035,17:15,-25.485001,-49.251961,621,1,1,2,NO HORÁRIO,REALIZANDO ROTA,IDA,1
CI001,CI001,17:17,-25.413253,-49.203901,345,1,1,1,ATRASADO,REALIZANDO ROTA,IDA,1
CC300,CC300,17:17,-25.430138,-49.271335,380,1,10,1,ATRASADO,TIPO INCOMPATIVEL,VOLTA,1
CC302,CC302,17:16,-25.426381,-49.257821,380,1,10,2,ATRASADO,TIPO INCOMPATIVEL,IDA,1
GI034,GI034,17:17,-25.498385,-49.280108,663,1,1,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
JL333,JL333,17:17,-25.464156,-49.308648,702,0,3,5,NO HORÁRIO,REALIZANDO ROTA,IDA,1
JL327,JL327,17:17,-25.339331,-49.271121,702,1,3,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
JL326,JL326,17:15,-25.42468,-49.268918,702,1,3,3,NO HORÁRIO,REALIZANDO ROTA,IDA,1
HI855,HI855,17:17,-25.447675,-49.292823,265,1,7,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
HI851,HI851,17:17,-25.534801,-49.317595,627,1,7,2,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
PE843,PE843,17:17,-25.435185,-49.304491,303,0,5,3,NO HORÁRIO,REALIZANDO ROTA,IDA,1
PE841,PE841,17:17,-25.437595,-49.266588,303,0,5,7,ATRASADO,REALIZANDO ROTA,IDA,1
JE703,JE703,17:16,-25.4691,-49.208346,303,0,5,2,NO HORÁRIO,REALIZANDO ROTA,IDA,1
GD343,GD343,17:16,-25.437686,-49.266631,303,0,5,6,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
JE707,JE707,17:17,-25.437136,-49.24352,303,0,5,4,ATRASADO,REALIZANDO ROTA,VOLTA,1
GE707,GE707,17:13,-25.441598,-49.34671,303,0,5,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
PE846,PE846,17:17,-25.482525,-49.239156,REC,0,5,,,,,1
KE704,KE704,17:06,-25.461936,-49.210678,303,0,5,9,ATRASADO,FORA DA ROTA,IDA,1
GI013,GI013,17:13,-25.54264,-49.26989,524,1,1,2,NO HORÁRIO,REALIZANDO ROTA,IDA,1
GI044,GI044,17:17,-25.534236,-49.260723,524,1,1,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
HE717,HE717,17:17,-25.441271,-49.276318,250,0,5,7,ADIANTADO,REALIZANDO ROTA,IDA,1
BE708,BE708,17:17,-25.512281,-49.29571,250,0,5,3,ATRASADO,REALIZANDO ROTA,IDA,1
HE721,HE721,17:17,-25.458906,-49.288958,250,0,5,2,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
HE723,HE723,17:14,-25.485513,-49.29402,250,0,5,4,NO HORÁRIO,REALIZANDO ROTA,IDA,1
BE705,BE705,17:15,-25.393023,-49.23997,250,0,5,10,ADIANTADO,REALIZANDO ROTA,VOLTA,1
GE704,GE704,17:17,-25.39376,-49.240721,250,0,5,9,NO HORÁRIO,REALIZANDO ROTA,IDA,1
GE727,GE727,17:12,-25.432093,-49.266953,250,0,5,12,ATRASADO,REALIZANDO ROTA,VOLTA,1
BE707,BE707,17:17,-25.432098,-49.26692,250,0,5,13,ADIANTADO,REALIZANDO ROTA,VOLTA,1
BI861,BI861,17:17,-25.355711,-49.274908,183,1,7,1,NÃO CONFORMIDADE,INDETERMINADA,IDA,1
HE706,HE706,17:17,-25.443495,-49.28183,603,0,5,1,ATRASADO,REALIZANDO ROTA,VOLTA,1
HE730,HE730,17:16,-25.48648,-49.294285,603,0,5,10,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
HE711,HE711,17:17,-25.504601,-49.295913,603,0,5,7,NO HORÁRIO,REALIZANDO ROTA,IDA,1
HE731,HE731,17:17,-25.476098,-49.29261,603,0,5,5,ATRASADO,REALIZANDO ROTA,IDA,1
HE725,HE725,17:17,-25.437005,-49.273338,603,0,5,3,NO HORÁRIO,REALIZANDO ROTA,IDA,1
BE726,BE726,17:17,-25.422185,-49.266408,203,0,5,4,ATRASADO,REALIZANDO ROTA,IDA,1
BE727,BE727,17:17,-25.38971,-49.23691,203,0,5,2,NO HORÁRIO,REALIZANDO ROTA,IDA,1
HE714,HE714,17:17,-25.443528,-49.282011,203,0,5,14,NO HORÁRIO,REALIZANDO ROTA,IDA,1
BE729,BE729,17:17,-25.431746,-49.267231,203,0,5,6,NO HORÁRIO,REALIZANDO ROTA,IDA,1
BE719,BE719,17:17,-25.466586,-49.292213,203,0,5,10,NO HORÁRIO,REALIZANDO ROTA,IDA,1
BE721,BE721,17:17,-25.49179,-49.293478,203,0,5,11,NO HORÁRIO,REALIZANDO ROTA,IDA,1
HE704,HE704,17:17,-25.37741,-49.22403,203,0,5,12,NO HORÁRIO,REALIZANDO ROTA,IDA,1
GE714,GE714,17:16,-25.443435,-49.282123,203,0,5,3,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
BE722,BE722,17:17,-25.439621,-49.271618,203,0,5,5,ADIANTADO,REALIZANDO ROTA,VOLTA,1
BE720,BE720,17:17,-25.420058,-49.265233,203,0,5,15,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
BE713,BE713,17:15,-25.394868,-49.24272,REC,0,5,,,,,1
BE718,BE718,17:17,-25.485635,-49.294083,203,0,5,13,ADIANTADO,REALIZANDO ROTA,VOLTA,1
GE732,GE732,17:17,-25.397548,-49.244215,203,0,5,9,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
GE730,GE730,17:17,-25.549618,-49.291491,REC,0,5,,,,,1
BD150,BD150,17:17,-25.394458,-49.242076,REC,0,5,,,,,1
BE702,BE702,17:17,-25.394323,-49.24193,REC,0,5,,,,,1
HI861,HI861,17:06,-25.532215,-49.337158,652,1,7,2,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
HI862,HI862,17:17,-25.520436,-49.329091,652,1,7,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
BC013,BC013,17:17,-25.427945,-49.214303,373,1,1,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
BC019,BC019,17:17,-25.413078,-49.205351,372,1,1,1,ADIANTADO,REALIZANDO ROTA,VOLTA,1
BC032,BC032,17:17,-25.42882,-49.225325,372,1,1,2,NO HORÁRIO,REALIZANDO ROTA,IDA,1
BI884,BI884,17:17,-25.40363,-49.245378,214,1,7,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
